date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:25	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Sep%202020%2006:03:26%20GMT	https://legittechreviews.com/robots.txt		(from )
12:03:26	59272/59272	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2001:07:12%20GMT	https://legittechreviews.com/easywaxoff/review/	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/index.html	(from )
12:03:27	59272/59272	---M-Z	200	added ('OK')	text/html	date:Sun,%2023%20Aug%202020%2001:07:12%20GMT	https://legittechreviews.com/easywaxoff/review/index.html	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/index-2.html	(from https://legittechreviews.com/easywaxoff/review/)
12:03:29	212388/212388	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Jul%202020%2018:21:12%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/uploads/2020/07/easywaxoff.jpg	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/uploads/2020/07/easywaxoff.jpg	(from https://legittechreviews.com/easywaxoff/review/)
12:03:30	16233/16233	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2021:55:24%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e8.css?ver=5.7.0	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e887e8.css	(from https://legittechreviews.com/easywaxoff/review/)
12:03:31	18468/18468	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2021:55:24%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/lib/animations/animations.mincaa5.css?ver=2.9.13	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/lib/animations/animations.mincaa5caa5.css	(from https://legittechreviews.com/easywaxoff/review/)
12:03:33	108733/108733	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2021:55:24%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/css/frontend.mincaa5.css?ver=2.9.13	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/css/frontend.mincaa5caa5.css	(from https://legittechreviews.com/easywaxoff/review/)
12:03:35	211386/211386	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2021:55:24%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor-pro/assets/css/frontend.min0ad8.css?ver=2.10.0	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor-pro/assets/css/frontend.min0ad80ad8.css	(from https://legittechreviews.com/easywaxoff/review/)
12:03:35	21282/21282	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2021:55:24%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/uploads/elementor/css/global76de.css?ver=1593440412	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/uploads/elementor/css/global76de76de.css	(from https://legittechreviews.com/easywaxoff/review/)
12:03:36	14810/14810	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2019:08:28%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/uploads/elementor/css/post-30f230.css?ver=1594976908	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/uploads/elementor/css/post-30f230f230.css	(from https://legittechreviews.com/easywaxoff/review/)
12:03:38	55753/55753	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2021:55:24%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683.css?ver=5.12.0	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683b683.css	(from https://legittechreviews.com/easywaxoff/review/)
12:03:38	665/665	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2021:55:24%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minb683.css?ver=5.12.0	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minb683b683.css	(from https://legittechreviews.com/easywaxoff/review/)
12:03:39	672/672	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2021:55:24%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minb683.css?ver=5.12.0	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minb683b683.css	(from https://legittechreviews.com/easywaxoff/review/)
12:03:41	121264/121264	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2021:55:24%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/themes/your-clean-template-3/css/bootstrap.min7661.css?ver=5.4.2	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/themes/your-clean-template-3/css/bootstrap.min76617661.css	(from https://legittechreviews.com/easywaxoff/review/)
12:03:41	2460/2460	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202020%2021:55:24%20GMT	https://legittechreviews.com/easywaxoff/review/wp-content/themes/your-clean-template-3/style7661.css?ver=5.4.2	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-content/themes/your-clean-template-3/style76617661.css	(from https://legittechreviews.com/easywaxoff/review/)
12:03:44	96873/96873	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Jul%202020%2021:53:18%20GMT	https://legittechreviews.com/easywaxoff/review/wp-includes/js/jquery/jquery4a5f.js?ver=1.12.4-wp	C:/My%20Web%20Sites/easywax/legittechreviews.com/easywaxoff/review/wp-includes/js/jquery/jquery4a5f4a5f.js	(from https://legittechreviews.com/easywaxoff/review/)
